UserName,Email,Phone,Password
matthew.rivera,matthew.rivera@terpmail.umd.edu,619-371-2903,.q&!"I[Xa)
wyatt_king,wyatt_king@umd.edu,587-581-8439,c{d;(dDxl6
jaxon.rivera.1996,jaxon.rivera.1996@terpmail.umd.edu,(202) 582-9627,;~628>XP<n
daniel_bennett_1993,daniel_bennett_1993@umd.edu,(202) 808-6003,f/aE*l[0-P
christopherr,christopherr@terpmail.umd.edu,754-638-7438,<"OalIhe97
maverick.mitchell,maverick.mitchell@umd.edu,(667) 398-9210,#@46!4OE7Z
gray_colton,gray_colton@terpmail.umd.edu,(667) 902-2228,3i()oi?UBe
liamhoward,liamhoward@terpmail.umd.edu,(667) 998-1876,[ettZ_ZoZT
leahm1997,leahm1997@umd.edu,(443) 540-3281,Rl1S|3bJ4?
diaz_elijah,diaz_elijah@umd.edu,331-668-9314,_peN~d2e[R
scoleman,scoleman@terpmail.umd.edu,(202) 829-4030,Ar_?A"nu$x
ewhite,ewhite@terpmail.umd.edu,(658) 962-6784,-gs=ZRmVl0
cameronscott,cameronscott@umd.edu,(202) 837-3553,]7as@J}L0:
edward_peterson,edward_peterson@terpmail.umd.edu,(525) 787-8307,.]@O-'I49h
charles.bryant.2003,charles.bryant.2003@terpmail.umd.edu,576-630-7094,}INHm{1&01
sophiah,sophiah@terpmail.umd.edu,(562) 125-8459,LyR44m|I7(
simmons.isabelle.1996,simmons.isabelle.1996@terpmail.umd.edu,(202) 175-7414,@V9][%j#1I
james_diaz_1991,james_diaz_1991@terpmail.umd.edu,726-555-9595,Js#q#9|j];
robinsonaria_1994,robinsonaria_1994@terpmail.umd.edu,973-589-6861,7$59H&_a?R
nbell_2003,nbell_2003@terpmail.umd.edu,530-466-1305,h-Y1g/r[B/
theodore_barnes,theodore_barnes@terpmail.umd.edu,747-833-1542,{I-uDB1%Hz
avery.brown.1998,avery.brown.1998@terpmail.umd.edu,399-446-8860,j%I9h?k8T!
ezra_robinson,ezra_robinson@umd.edu,161-587-1908,.z~Bh\"uM+
emma.russell,emma.russell@terpmail.umd.edu,(910) 529-1707,h&2"^lJw.S
henrysanchez,henrysanchez@terpmail.umd.edu,821-371-1418,G2B"AA"p%8
victoriaj,victoriaj@terpmail.umd.edu,(410) 650-6069,>.?:/86&]_
christian_washington,christian_washington@terpmail.umd.edu,913-353-8206,$n%2!oe-^!
swright,swright@umd.edu,(301) 217-3509,cMqW<N"=*G
adam.brown,adam.brown@umd.edu,(301) 903-6785,fI"V~sN#c(
claire.diaz,claire.diaz@umd.edu,(658) 121-2670,}EM/z'l#K1
hudsonreed,hudsonreed@terpmail.umd.edu,577-847-2062,vTv+Q+5WK%
aaronkelly,aaronkelly@umd.edu,(514) 907-6605,J4{Kfj037?
wyatttaylor,wyatttaylor@terpmail.umd.edu,366-740-5252,9h2;Dak$)8
clark_eli_1992,clark_eli_1992@umd.edu,(527) 200-1912,{|<28JF*M'
evelynstewart,evelynstewart@umd.edu,610-328-1677,'/86:BtL3'
brooklynp,brooklynp@terpmail.umd.edu,528-909-9845,A{Dvj5GE}$
olivia_p,olivia_p@terpmail.umd.edu,907-822-3911,Y)8XIA-C[!
lily.sanchez.2003,lily.sanchez.2003@terpmail.umd.edu,(610) 765-3278,}67{KW[5o9
ebell_1996,ebell_1996@umd.edu,(715) 356-1702,47?i2h"Wsj
dylan_m,dylan_m@umd.edu,(508) 798-8838,1Gw`+^pNwh
mason_reed_2001,mason_reed_2001@umd.edu,313-999-5898,?3&fcjJ.17
audrey_l,audrey_l@terpmail.umd.edu,(667) 214-4157,eF4E\n'PRK
avery_h,avery_h@umd.edu,930-390-8502,4Ar9-pya$k
caleb.perry,caleb.perry@terpmail.umd.edu,755-658-9178,?gv]y_(Ath
jackgreen,jackgreen@umd.edu,(443) 886-9987,4}TYaDER0v
eli_g,eli_g@umd.edu,(301) 823-8014,8#|IA2yV?)
lreed_1991,lreed_1991@umd.edu,(680) 335-1740,>a31oN><I>
matthew.gonzalez,matthew.gonzalez@umd.edu,(333) 144-8380,V%]k-fM<MF
adamsimmons,adamsimmons@terpmail.umd.edu,997-129-3317,j^S?A}%ihi
lucas_h,lucas_h@terpmail.umd.edu,642-216-4006,bl*Wh.)[86
zoew,zoew@umd.edu,(667) 191-6011,'5LL@U!.-x
alex_gray,alex_gray@umd.edu,(422) 766-3446,QU.7@).IYQ
nolan.ross.1992,nolan.ross.1992@terpmail.umd.edu,(301) 923-4590,D}tT*/F@i}
butler_elijah,butler_elijah@terpmail.umd.edu,(301) 525-2036,Y/S(I[9Cv_
ecox,ecox@terpmail.umd.edu,(955) 980-8947,w'R*j[pmoT
hillhudson_2002,hillhudson_2002@umd.edu,752-902-3369,P<CWpsE:Qp
cook_james,cook_james@terpmail.umd.edu,(410) 641-1512,GpF":j7LR8
evan_a,evan_a@terpmail.umd.edu,640-512-8978,53ED14g}x.
asher.robinson,asher.robinson@umd.edu,703-598-3594,v#q`FpBC"~
gabrielg_1993,gabrielg_1993@terpmail.umd.edu,123-140-1466,&]KpdCFL/d
elijah.bell.2000,elijah.bell.2000@umd.edu,315-276-2224,I>YHyZTIC<
adams_anna,adams_anna@terpmail.umd.edu,(410) 438-1042,+B\zzJ|Z$Z
bella_g,bella_g@umd.edu,(501) 254-3400,6(Ew\2H_^<
zoeward,zoeward@terpmail.umd.edu,(620) 234-3611,s4\u>&igd0
lopezharper_1998,lopezharper_1998@umd.edu,374-338-1621,k7F~j2elZ3
ava.foster,ava.foster@umd.edu,(202) 295-2856,jihB*C.wTP
ross_addison,ross_addison@terpmail.umd.edu,538-965-5069,qMR@q+%5Zg
nolant1992,nolant1992@terpmail.umd.edu,(443) 939-9371,;4j@'Tc:(v
johnpowell,johnpowell@umd.edu,607-732-4534,QuZebpR$8|
amorris,amorris@terpmail.umd.edu,734-482-3999,Gny#YIvt1>
rubypatterson,rubypatterson@umd.edu,669-151-9200,PK]^{l{k|c
