Timestamp,IP_Address,Username,Password,Status
2023-10-18 22:44:40,96.89.10.142,reedlisa,0@VA&voZ_s,FAILURE
2023-10-18 22:43:03,74.148.158.230,jamesbradshaw,y@mt82LsNc,SUCCESS
2023-10-18 22:39:47,152.94.109.157,adrienne77,&WNQnLj*4_,SUCCESS
2023-10-18 22:38:47,170.167.93.157,aholland,)H6+1Zp$%f,FAILURE
2023-10-18 22:38:37,79.176.168.92,heatherknight,^%vO#lt51&,FAILURE
2023-10-18 22:36:29,3.29.235.99,blankenshipwilliam,lyjEmLVN_3,FAILURE
2023-10-18 22:34:07,126.180.79.242,codyodonnell,V%F)YEA6ha,SUCCESS
2023-10-18 22:31:55,30.156.182.114,christina61,*x34FFEm$n,SUCCESS
2023-10-18 22:31:23,106.145.22.145,stephennavarro,m9H6RLL^^k,SUCCESS
2023-10-18 22:30:17,200.51.231.141,pgomez,@5Q!G)tzmJ,FAILURE
2023-10-18 22:27:58,120.69.228.82,tiffanyprice,L!8mb0Tchu,SUCCESS
2023-10-18 22:23:33,181.233.162.63,rdougherty,8u+a^3Hn2%,FAILURE
2023-10-18 22:21:55,203.129.255.175,manuelpena,_9ziLh58Oh,FAILURE
2023-10-18 22:18:27,121.50.160.98,jonesmichael,v75w7gPw+@,SUCCESS
2023-10-18 22:18:03,109.112.150.178,xsteele,jn^xY8Qu@v,SUCCESS
2023-10-18 22:17:09,62.98.51.253,matthew26,!&0lPHOr65,FAILURE
2023-10-18 22:15:20,50.5.101.140,fpitts,OsruJe^B&8,FAILURE
2023-10-18 22:11:48,23.56.25.1,melissa86,4+6n)Pu(gs,SUCCESS
2023-10-18 22:07:48,64.117.147.122,timothy14,SGe9ZUg#r%,FAILURE
2023-10-18 22:03:50,178.234.240.63,rebeccaflynn,_2PfZfunZk,SUCCESS
2023-10-18 22:03:15,9.254.102.131,ashley89,_5E$F!ipP5,SUCCESS
2023-10-18 22:00:45,71.141.42.211,michelleoconnor,u5BEM%Sk)G,FAILURE
2023-10-18 21:58:42,184.80.149.18,cheryl60,@43XQNkqvO,FAILURE
2023-10-18 21:54:45,136.12.7.36,sharpcory,ZE4ThPg!h),FAILURE
2023-10-18 21:54:18,32.206.46.235,patrickgallagher,poy89DmZ!9,FAILURE
2023-10-18 21:50:51,146.45.46.238,weissamanda,)c6e7HfPj_,SUCCESS
2023-10-18 21:48:30,63.114.252.184,kimberlywilliams,)TDeJcp&g2,SUCCESS
2023-10-18 21:46:50,159.141.202.132,rogerstonya,ef91JPhg%*,SUCCESS
2023-10-18 21:45:24,218.141.110.161,elizabeth20,D01Ur_HS#F,FAILURE
2023-10-18 21:40:41,176.134.8.159,patriciajohnson,7D@9R6ycNF,SUCCESS
2023-10-18 21:36:31,84.95.191.199,jose71,1bcM#04p@l,SUCCESS
2023-10-18 21:31:43,175.93.173.230,phillipstoni,*J*2Go$f^9,SUCCESS
2023-10-18 21:27:31,206.223.213.253,ginaguerra,$g0NlBxx97,SUCCESS
2023-10-18 21:23:32,189.61.20.190,douglas33,$4IBJCpg#y,FAILURE
2023-10-18 21:21:16,53.200.159.83,cindyflores,uX(H2WcKxP,SUCCESS
2023-10-18 21:16:24,155.61.244.41,clinevincent,b^XtnAl0+0,FAILURE
2023-10-18 21:14:20,102.137.230.143,hgreen,^apGlZSzz0,FAILURE
2023-10-18 21:13:08,117.231.143.211,christophertorres,9_28S3i8&&,FAILURE
2023-10-18 21:11:21,101.163.175.115,kellyolson,C#_x8EqZvx,SUCCESS
2023-10-18 21:11:11,21.5.186.63,prattcharles,@p$uBf^jk9,FAILURE
2023-10-18 21:08:50,192.44.34.154,lauren03,)y^7HNokN8,FAILURE
2023-10-18 21:05:03,70.31.35.33,brandon39,Q4j+W3Xx%e,FAILURE
2023-10-18 21:04:27,155.55.108.181,yowen,(_9uDk9rZ@,SUCCESS
2023-10-18 21:01:40,56.207.149.24,chrisjohnston,wU5sUuy8!L,FAILURE
2023-10-18 20:58:40,203.19.160.141,hayley74,FyrFD9tf^3,FAILURE
2023-10-18 20:55:30,158.66.186.222,lindawilliams,K*5xLILw9M,FAILURE
2023-10-18 20:54:42,120.66.173.20,amy31,kO4JxO8O*b,SUCCESS
2023-10-18 20:53:16,197.58.146.32,michael48,&6naF8d$z^,SUCCESS
2023-10-18 20:52:11,120.25.199.102,pparker,)H1GgFDt@e,FAILURE
2023-10-18 20:47:26,124.50.51.24,ugarza,*G3GlmDRAv,FAILURE
2023-10-18 20:45:06,54.7.243.32,randypetersen,)h8nEgW_01,FAILURE
2023-10-18 20:40:45,177.84.30.134,christinaortiz,F^H@0HxQoT,FAILURE
2023-10-18 20:39:36,172.140.235.18,clee,+5*N+YhbjL,FAILURE
2023-10-18 20:36:03,153.139.72.63,austinvargas,k$h5UWvl5m,SUCCESS
2023-10-18 20:36:00,69.98.55.129,ybenson,H(732!ns%B,FAILURE
2023-10-18 20:32:18,192.58.181.36,valeriebrady,VX4B5W7tM@,FAILURE
2023-10-18 20:29:25,65.83.254.45,sara06,OUv7Tyc94+,SUCCESS
2023-10-18 20:25:42,200.187.171.124,cschmidt,gU!nK8OtP%,FAILURE
2023-10-18 20:21:58,30.248.43.154,jasonsanchez,Lv^1KsPUPT,FAILURE
2023-10-18 20:18:11,136.126.166.26,jeffrey14,9AS(O8Kh72,SUCCESS
2023-10-18 20:14:22,110.87.10.191,whitetimothy,VV57ONFa)#,SUCCESS
2023-10-18 20:10:53,24.25.168.205,martin93,N0CooP)^__,FAILURE
2023-10-18 20:07:28,76.57.93.147,walterselizabeth,*BwVv61nT%,FAILURE
2023-10-18 20:06:21,30.197.65.213,abigailhernandez,#JNOUoyU9P,FAILURE
2023-10-18 20:04:01,217.92.94.177,juliebooth,(2PxN*qcpw,SUCCESS
2023-10-18 20:01:27,66.238.79.82,katie53,2)X5YCbE1e,FAILURE
2023-10-18 20:00:36,97.24.0.73,claudia90,i36u+lTlb*,SUCCESS
2023-10-18 19:58:07,168.92.166.47,nicholas65,@L1VSogLwk,FAILURE
2023-10-18 19:56:01,83.254.25.39,danielsnyder,(RL#4jIp!W,FAILURE
2023-10-18 19:55:33,209.115.109.27,david15,VF$4bYDw+w,FAILURE
2023-10-18 19:53:36,93.114.240.55,johnsonmichael,@&17Wgf*B5,FAILURE
2023-10-18 19:51:56,92.4.219.236,jenna62,vl_82tScGZ,SUCCESS
2023-10-18 19:47:40,68.237.249.12,mark95,+(0gvNdZ$P,FAILURE
